h,L1 Error Estimate,Empirical Convergence Rate p
0.1,0.0009536136139123448,
0.05,0.00024002862564313925,1.9901983611712593
0.025,6.0216495783090405e-05,1.9949758109322633
0.0125,1.5080743358374602e-05,1.9974512113059326
