h,L1 Error Estimate,Empirical Convergence Rate p
0.1,0.006537884357852634,
0.05,0.0015377184159687785,2.088032514979029
0.025,0.00036342009142983683,2.0810812586585103
0.0125,8.749240641218266e-05,2.054408466201079
0.00625,2.1400755378698633e-05,2.0314960887880438
0.003125,5.287719882313377e-06,2.01694406306356
0.0015625,1.3139022608459784e-06,2.0087877920997776
0.00078125,3.274582684418915e-07,2.004474994598691
0.000390625,8.173652486962687e-08,2.0022582482961986
