h,L1 Error Estimate,Empirical Convergence Rate p
0.1,0.0015679608153186663,
0.05,0.0002725831042325226,2.5241214595782413
0.025,6.82195726690015e-05,1.9984385180557247
0.0125,1.7059516600739573e-05,1.9996089509006343
