h,L1 Error Estimate,Empirical Convergence Rate p
0.1,0.0014798564745526486,
0.05,0.00038208679691085926,1.9534849502919918
0.025,9.711698516197414e-05,1.9761048646354913
0.0125,2.4483919868072087e-05,1.9878890846236426
